sample_id,ticker,end_date,num_bars,image_path,review_image_path
AAPL_20250912_120,AAPL,2025-09-12,120,images/AAPL_20250912_120.png,images_review/AAPL_20250912_120.png
AAPL_20250919_120,AAPL,2025-09-19,120,images/AAPL_20250919_120.png,images_review/AAPL_20250919_120.png
AAPL_20250926_120,AAPL,2025-09-26,120,images/AAPL_20250926_120.png,images_review/AAPL_20250926_120.png
AAPL_20251003_120,AAPL,2025-10-03,120,images/AAPL_20251003_120.png,images_review/AAPL_20251003_120.png
AAPL_20251010_120,AAPL,2025-10-10,120,images/AAPL_20251010_120.png,images_review/AAPL_20251010_120.png
AAPL_20251017_120,AAPL,2025-10-17,120,images/AAPL_20251017_120.png,images_review/AAPL_20251017_120.png
AAPL_20251024_120,AAPL,2025-10-24,120,images/AAPL_20251024_120.png,images_review/AAPL_20251024_120.png
AAPL_20251031_120,AAPL,2025-10-31,120,images/AAPL_20251031_120.png,images_review/AAPL_20251031_120.png
AAPL_20251107_120,AAPL,2025-11-07,120,images/AAPL_20251107_120.png,images_review/AAPL_20251107_120.png
AAPL_20251114_120,AAPL,2025-11-14,120,images/AAPL_20251114_120.png,images_review/AAPL_20251114_120.png
AAPL_20251121_120,AAPL,2025-11-21,120,images/AAPL_20251121_120.png,images_review/AAPL_20251121_120.png
AAPL_20251201_120,AAPL,2025-12-01,120,images/AAPL_20251201_120.png,images_review/AAPL_20251201_120.png
AAPL_20251208_120,AAPL,2025-12-08,120,images/AAPL_20251208_120.png,images_review/AAPL_20251208_120.png
AAPL_20251215_120,AAPL,2025-12-15,120,images/AAPL_20251215_120.png,images_review/AAPL_20251215_120.png
AAPL_20251222_120,AAPL,2025-12-22,120,images/AAPL_20251222_120.png,images_review/AAPL_20251222_120.png
AAPL_20251230_120,AAPL,2025-12-30,120,images/AAPL_20251230_120.png,images_review/AAPL_20251230_120.png
AAPL_20260107_120,AAPL,2026-01-07,120,images/AAPL_20260107_120.png,images_review/AAPL_20260107_120.png
AAPL_20260114_120,AAPL,2026-01-14,120,images/AAPL_20260114_120.png,images_review/AAPL_20260114_120.png
MSFT_20250228_120,MSFT,2025-02-28,120,images/MSFT_20250228_120.png,images_review/MSFT_20250228_120.png
MSFT_20250307_120,MSFT,2025-03-07,120,images/MSFT_20250307_120.png,images_review/MSFT_20250307_120.png
MSFT_20250314_120,MSFT,2025-03-14,120,images/MSFT_20250314_120.png,images_review/MSFT_20250314_120.png
MSFT_20250321_120,MSFT,2025-03-21,120,images/MSFT_20250321_120.png,images_review/MSFT_20250321_120.png
MSFT_20250328_120,MSFT,2025-03-28,120,images/MSFT_20250328_120.png,images_review/MSFT_20250328_120.png
MSFT_20250404_120,MSFT,2025-04-04,120,images/MSFT_20250404_120.png,images_review/MSFT_20250404_120.png
MSFT_20250411_120,MSFT,2025-04-11,120,images/MSFT_20250411_120.png,images_review/MSFT_20250411_120.png
MSFT_20250421_120,MSFT,2025-04-21,120,images/MSFT_20250421_120.png,images_review/MSFT_20250421_120.png
MSFT_20250428_120,MSFT,2025-04-28,120,images/MSFT_20250428_120.png,images_review/MSFT_20250428_120.png
MSFT_20250505_120,MSFT,2025-05-05,120,images/MSFT_20250505_120.png,images_review/MSFT_20250505_120.png
MSFT_20250512_120,MSFT,2025-05-12,120,images/MSFT_20250512_120.png,images_review/MSFT_20250512_120.png
MSFT_20250519_120,MSFT,2025-05-19,120,images/MSFT_20250519_120.png,images_review/MSFT_20250519_120.png
MSFT_20250527_120,MSFT,2025-05-27,120,images/MSFT_20250527_120.png,images_review/MSFT_20250527_120.png
MSFT_20250603_120,MSFT,2025-06-03,120,images/MSFT_20250603_120.png,images_review/MSFT_20250603_120.png
MSFT_20250610_120,MSFT,2025-06-10,120,images/MSFT_20250610_120.png,images_review/MSFT_20250610_120.png
MSFT_20250617_120,MSFT,2025-06-17,120,images/MSFT_20250617_120.png,images_review/MSFT_20250617_120.png
MSFT_20250625_120,MSFT,2025-06-25,120,images/MSFT_20250625_120.png,images_review/MSFT_20250625_120.png
MSFT_20250702_120,MSFT,2025-07-02,120,images/MSFT_20250702_120.png,images_review/MSFT_20250702_120.png
MSFT_20250710_120,MSFT,2025-07-10,120,images/MSFT_20250710_120.png,images_review/MSFT_20250710_120.png
MSFT_20250717_120,MSFT,2025-07-17,120,images/MSFT_20250717_120.png,images_review/MSFT_20250717_120.png
MSFT_20250724_120,MSFT,2025-07-24,120,images/MSFT_20250724_120.png,images_review/MSFT_20250724_120.png
MSFT_20250731_120,MSFT,2025-07-31,120,images/MSFT_20250731_120.png,images_review/MSFT_20250731_120.png
MSFT_20250807_120,MSFT,2025-08-07,120,images/MSFT_20250807_120.png,images_review/MSFT_20250807_120.png
MSFT_20250814_120,MSFT,2025-08-14,120,images/MSFT_20250814_120.png,images_review/MSFT_20250814_120.png
MSFT_20250821_120,MSFT,2025-08-21,120,images/MSFT_20250821_120.png,images_review/MSFT_20250821_120.png
MSFT_20250828_120,MSFT,2025-08-28,120,images/MSFT_20250828_120.png,images_review/MSFT_20250828_120.png
MSFT_20250905_120,MSFT,2025-09-05,120,images/MSFT_20250905_120.png,images_review/MSFT_20250905_120.png
MSFT_20250912_120,MSFT,2025-09-12,120,images/MSFT_20250912_120.png,images_review/MSFT_20250912_120.png
MSFT_20250919_120,MSFT,2025-09-19,120,images/MSFT_20250919_120.png,images_review/MSFT_20250919_120.png
MSFT_20250926_120,MSFT,2025-09-26,120,images/MSFT_20250926_120.png,images_review/MSFT_20250926_120.png
MSFT_20251003_120,MSFT,2025-10-03,120,images/MSFT_20251003_120.png,images_review/MSFT_20251003_120.png
MSFT_20251010_120,MSFT,2025-10-10,120,images/MSFT_20251010_120.png,images_review/MSFT_20251010_120.png
MSFT_20251017_120,MSFT,2025-10-17,120,images/MSFT_20251017_120.png,images_review/MSFT_20251017_120.png
MSFT_20251024_120,MSFT,2025-10-24,120,images/MSFT_20251024_120.png,images_review/MSFT_20251024_120.png
MSFT_20251031_120,MSFT,2025-10-31,120,images/MSFT_20251031_120.png,images_review/MSFT_20251031_120.png
MSFT_20251107_120,MSFT,2025-11-07,120,images/MSFT_20251107_120.png,images_review/MSFT_20251107_120.png
MSFT_20251114_120,MSFT,2025-11-14,120,images/MSFT_20251114_120.png,images_review/MSFT_20251114_120.png
MSFT_20251121_120,MSFT,2025-11-21,120,images/MSFT_20251121_120.png,images_review/MSFT_20251121_120.png
MSFT_20251201_120,MSFT,2025-12-01,120,images/MSFT_20251201_120.png,images_review/MSFT_20251201_120.png
MSFT_20251208_120,MSFT,2025-12-08,120,images/MSFT_20251208_120.png,images_review/MSFT_20251208_120.png
MSFT_20251215_120,MSFT,2025-12-15,120,images/MSFT_20251215_120.png,images_review/MSFT_20251215_120.png
MSFT_20251222_120,MSFT,2025-12-22,120,images/MSFT_20251222_120.png,images_review/MSFT_20251222_120.png
MSFT_20251230_120,MSFT,2025-12-30,120,images/MSFT_20251230_120.png,images_review/MSFT_20251230_120.png
MSFT_20260107_120,MSFT,2026-01-07,120,images/MSFT_20260107_120.png,images_review/MSFT_20260107_120.png
MSFT_20260114_120,MSFT,2026-01-14,120,images/MSFT_20260114_120.png,images_review/MSFT_20260114_120.png
MSFT_20260122_120,MSFT,2026-01-22,120,images/MSFT_20260122_120.png,images_review/MSFT_20260122_120.png
MSFT_20260129_120,MSFT,2026-01-29,120,images/MSFT_20260129_120.png,images_review/MSFT_20260129_120.png
MSFT_20260205_120,MSFT,2026-02-05,120,images/MSFT_20260205_120.png,images_review/MSFT_20260205_120.png
MSFT_20260212_120,MSFT,2026-02-12,120,images/MSFT_20260212_120.png,images_review/MSFT_20260212_120.png
MSFT_20260220_120,MSFT,2026-02-20,120,images/MSFT_20260220_120.png,images_review/MSFT_20260220_120.png
NVDA_20250228_120,NVDA,2025-02-28,120,images/NVDA_20250228_120.png,images_review/NVDA_20250228_120.png
NVDA_20250307_120,NVDA,2025-03-07,120,images/NVDA_20250307_120.png,images_review/NVDA_20250307_120.png
NVDA_20250314_120,NVDA,2025-03-14,120,images/NVDA_20250314_120.png,images_review/NVDA_20250314_120.png
NVDA_20250321_120,NVDA,2025-03-21,120,images/NVDA_20250321_120.png,images_review/NVDA_20250321_120.png
NVDA_20250328_120,NVDA,2025-03-28,120,images/NVDA_20250328_120.png,images_review/NVDA_20250328_120.png
NVDA_20250404_120,NVDA,2025-04-04,120,images/NVDA_20250404_120.png,images_review/NVDA_20250404_120.png
NVDA_20250411_120,NVDA,2025-04-11,120,images/NVDA_20250411_120.png,images_review/NVDA_20250411_120.png
NVDA_20250421_120,NVDA,2025-04-21,120,images/NVDA_20250421_120.png,images_review/NVDA_20250421_120.png
NVDA_20250428_120,NVDA,2025-04-28,120,images/NVDA_20250428_120.png,images_review/NVDA_20250428_120.png
NVDA_20250505_120,NVDA,2025-05-05,120,images/NVDA_20250505_120.png,images_review/NVDA_20250505_120.png
